STATE,DISTRICT,AC NO.,AC NAME,CANDIDATE NAME,WINNER,SEX,ASSETS_in num,ASSETS_in_alph,ASSETS,QUALIFICATION,CRIMINAL CASES,AGE,CATEGORY,PARTY,SYMBOL,GENERAL,POSTAL,TOTAL,% VOTES POLLED,%OVER TOTAL ELECTORS,TOTAL ELECTORS
NCT OF Delhi,North Delhi,1,NARELA,SHARAD KUMAR,1,MALE,32048039,3 Crore+,32048039~3 Crore+,10th Pass,1,44,GENERAL,AAAP,Broom,86070,192,86262,52.06103,33.96382,253982
NCT OF Delhi,North Delhi,1,NARELA,NEEL DAMAN KHATRI,0,MALE,56817670,5 Crore+,56817670~5 Crore+,10th Pass,2,49,GENERAL,BJP,Lotus,68244,589,68833,41.54224,27.10153,253982
NCT OF Delhi,North Delhi,1,NARELA,SIDDHARTH KUNDU,0,MALE,,,~,,,41,GENERAL,INC,Hand,6240,30,6270,3.784084,2.468679,253982
NCT OF Delhi,North Delhi,1,NARELA,RAJBALA SAINI,0,FEMALE,,,~,,,44,GENERAL,LTSP,Pressure Cooker,1077,5,1082,0.653011,0.426014,253982
NCT OF Delhi,North Delhi,1,NARELA,MAHENDER CHAUDHARY,0,MALE,6426594,64 Lacs+,6426594~64 Lacs+,12th Pass,1,44,GENERAL,BSP,Elephant,811,10,821,0.495492,0.323251,253982
NCT OF Delhi,North Delhi,1,NARELA,NOTA,0,,,,~,,,,,NOTA,,746,7,753,0.454452,0.296478,253982
NCT OF Delhi,North Delhi,1,NARELA,NAR SINGH,0,MALE,,,~,,,39,GENERAL,SHtP,Green Chilli,603,1,604,0.364527,0.237812,253982
NCT OF Delhi,North Delhi,1,NARELA,SULESH KUMAR,0,MALE,,,~,,,50,GENERAL,AAPP,Battery torch,495,,495,0.298743,0.194896,253982
NCT OF Delhi,North Delhi,1,NARELA,SURESH KUMAR,0,MALE,,,~,,,61,SC,PPID,Basket containing Fruits,180,,180,0.108634,0.070871,253982
NCT OF Delhi,North Delhi,1,NARELA,ADITI,0,FEMALE,17867,17 Thousand +,17867~17 Thousand +,Graduate,1,26,GENERAL,IND,Plastering Trowel,151,,151,0.091132,0.059453,253982
NCT OF Delhi,North Delhi,1,NARELA,CHAND RAM,0,MALE,,,~,,,57,GENERAL,RAJSPty,Telephone,138,,138,0.083286,0.054335,253982
NCT OF Delhi,North Delhi,1,NARELA,RAMESH KUMAR,0,MALE,,,~,,,54,SC,BSNP,Wheel Barrow,104,1,105,0.06337,0.041342,253982
NCT OF Delhi,Central Delhi,2,BURARI,SANJEEV JHA,1,MALE,1037347,10 Lacs+,1037347~10 Lacs+,Graduate,,40,GENERAL,AAAP,Broom,139368,230,139598,62.80955,38.59465,361703
NCT OF Delhi,Central Delhi,2,BURARI,SHAILENDRA KUMAR,0,MALE,,,~,,,60,GENERAL,JD(U),Arrow,50941,499,51440,23.14448,14.22161,361703
NCT OF Delhi,Central Delhi,2,BURARI,DHARAM VEER,0,MALE,,,~,,,70,SC,SHS,Bow & Arrow,18022,22,18044,8.118566,4.988623,361703
NCT OF Delhi,Central Delhi,2,BURARI,PRAMOD TYAGI,0,MALE,,,~,,,56,GENERAL,RJD,Hurricane Lamp,2262,16,2278,1.024944,0.629798,361703
NCT OF Delhi,Central Delhi,2,BURARI,GANGA RAM,0,MALE,,,~,,,56,SC,BSP,Elephant,1857,12,1869,0.840922,0.516722,361703
NCT OF Delhi,Central Delhi,2,BURARI,RANJEET SINGH,0,MALE,,,~,,,42,GENERAL,UKKD,Balloon,1239,5,1244,0.559715,0.343929,361703
NCT OF Delhi,Central Delhi,2,BURARI,ANIL KUMAR YADAV,0,MALE,,,~,,,28,GENERAL,BSNP,Wheel Barrow,1206,4,1210,0.544417,0.334529,361703
NCT OF Delhi,Central Delhi,2,BURARI,NOTA,0,,,,~,,,,,NOTA,,1198,8,1206,0.542618,0.333423,361703
NCT OF Delhi,Central Delhi,2,BURARI,MANOJ RAI,0,MALE,7701400,77 Lacs+,7701400~77 Lacs+,12th Pass,1,37,GENERAL,AAPP,Battery torch,805,1,806,0.362645,0.222835,361703
NCT OF Delhi,Central Delhi,2,BURARI,DEEPAK GUPTA,0,MALE,,,~,,,41,GENERAL,RLD,Diesel Pump,671,5,676,0.304154,0.186894,361703
NCT OF Delhi,Central Delhi,2,BURARI,AMARJEET KUMAR,0,MALE,,,~,,,39,GENERAL,SUCI,Glass Tumbler,653,1,654,0.294255,0.180811,361703
NCT OF Delhi,Central Delhi,2,BURARI,RAM SUSHIL MISHRA,0,MALE,,,~,,,29,GENERAL,SatBP,Black Board,456,,456,0.205169,0.12607,361703
NCT OF Delhi,Central Delhi,2,BURARI,SHIV NARAYAN SINGH,0,MALE,,,~,,,57,SC,PPID,Basket containing Fruits,382,,382,0.171874,0.105612,361703
NCT OF Delhi,Central Delhi,2,BURARI,MONU,0,MALE,,,~,,,29,GENERAL,BhaRP,Whistle,347,,347,0.156126,0.095935,361703
NCT OF Delhi,Central Delhi,2,BURARI,SHAILENDRA SINGH PARIHAR,0,MALE,,,~,,,37,GENERAL,IND,Walking Stick,289,2,291,0.13093,0.080453,361703
NCT OF Delhi,Central Delhi,2,BURARI,PANKAJ KUMAR AGRAWAL,0,MALE,,,~,,,43,GENERAL,RPPRINAT,COMPUTER,287,,287,0.12913,0.079347,361703
NCT OF Delhi,Central Delhi,2,BURARI,ARVIND MISHRA,0,MALE,,,~,,,45,GENERAL,HND,Water Tank,285,,285,0.128231,0.078794,361703
NCT OF Delhi,Central Delhi,2,BURARI,AWDESH VERMA ALIAS AVDHESH VERMA,0,MALE,,,~,,,40,GENERAL,JANADIP,Dolli,281,1,282,0.126881,0.077965,361703
NCT OF Delhi,Central Delhi,2,BURARI,AAZAD NAFE SINGH RAJPUT,0,MALE,,,~,,,46,GENERAL,IND,Brush,227,,227,0.102134,0.062759,361703
NCT OF Delhi,Central Delhi,2,BURARI,KRISHNA MOHAN JHA,0,MALE,,,~,,,46,GENERAL,AASPS,Auto- Rickshaw,182,1,183,0.082337,0.050594,361703
NCT OF Delhi,Central Delhi,2,BURARI,USHA GAUTAM,0,FEMALE,,,~,,,64,SC,RAM,Key,180,,180,0.080988,0.049765,361703
NCT OF Delhi,Central Delhi,2,BURARI,DINESH KUMAR MISHRA,0,MALE,,,~,,,42,GENERAL,RSPS,Cup & Saucer,164,1,165,0.074239,0.045618,361703
NCT OF Delhi,Central Delhi,2,BURARI,GULAB SINGHAL,0,MALE,,,~,,,44,GENERAL,RJSPS,Tractor Chalata Kissan,146,,146,0.06569,0.040365,361703
NCT OF Delhi,Central Delhi,3,TIMARPUR,DILIP PANDEY,1,MALE,7711538,70 Lacs+,7711538~70 Lacs+,Post Graduate,2,39,GENERAL,AAAP,Broom,71345,87,71432,57.60134,35.08465,203599
